ID;Smell;Why;Refactoring;Why;Francisco;Jacopo;Agreement
1;Non-proper access control;The overwhelming majority of applications are going to need to perform some level of access control and authorization handling. What you want to avoid here is reinventing the wheel.;Use OAuth 2.0;OAuth/OAuth2 is practically the industry standard as far as user authorization goes. [...] The advantage of using it is that you can rely on libraries and platforms ;X;X;1
1;No layered security;Assuming that a firewall on your network perimeter is enough to protect your software is a big mistake;Use defense-in-depth;"""Defense in depth"" is defined as ""an information assurance concept in which multiple layers of security controls (defense) are placed throughout an information technology system.""";X;X;1
1;Own crypto code;Don�t write your own crypto code;Use already validated solutions;the open source tools already available (tools that have been heavily battle tested by the community);X;X;1
1;Publicly accessible microservices;Get your containers out of the public network;Use firewall for the API gateway;By using this technique you can secure all of your microservices behind a firewall, allowing the API gateway to handle external requests and then talk to the microservices behind the firewall;X;X;1
2;Publicly accessible microservices;;Secure APIs;Your APIs are the gateway into the  microservice architecture;X;X;1
2;Insecure infrastructure;With Infrastructure-as-Code, your architecture might be in a GitHub Repo;Restrict commits;Important to restrict who can commit to master;X;X;1
2;Insecure infrastructure;With Infrastructure-as-Code, your architecture might be in a GitHub Repo;Review code merges;Important to review code merges (pull requests, etc);X;X;1
2;Decentralized Authentication;;Use API Gateway;"API Gateway is the most prolific Microservice authentication pattern.ach request is signed, which provides an additional layer of authentication.";X;X;1
2;Centralized authorization;;Use a token-based approach;We have decentralized everything. API Gateway + JWT can help to share information across services.;X;X;1
2;Centralized authorization;;Use CQRS;Command and query interfaces are separated. We have a lot more granular control over which services and users we authorise around capabilities;X;X;1
2;Non-standard identity propagation;;Use JSON Web Tokens (JWT);JWT allows us to pass identity and claims across services.;;X;0
2;Hardcoded secrets;Bad ideas: Hardcoding credentials in your code, Hardcoding credentials in your Dockerfile, Using environment variables to pass secrets;Encrypt secrets at rest;;;X;0
3;Decentralized Authentication;;Use API Gateway;the API Gateway is the best place to validate Authentication as well as enforce Authorization. This allows you to ensure that anything that goes from the edge into the ecosystem is correctly Authenticated;X;X;1
3;Own crypto code;minimize the amount of code your team writes;Use already validated solutions;maximize the amount of code you can leverage from libraries that are bullet proof;X;X;1
4;Centralized authorization;"monolithic applications. For the latter, security teams often use centralized security modules, which cover authentication, authorization, and a range of other critical security measures.However, in a microservices architecture, this kind of centralization would diminish the advantages of distributed deployment and reduce efficiency";Use a token-based approach;;X;X;1
4;Non-standard Authorization;Most applications within a microservices architecture require methods for controlling access and authorization. [..] However, many security analysts advise against starting from scratch;Use OAuth 2.0;recommend using OAuth and OAuth2 for authorization management ;X;X;1
4;No layered security;A standard firewall on the network perimeter is insufficient for protecting an organization�s software architecture;Use defense-in-depth;microservices calls for a more robust defense involving multiple layers of security controls, placed throughout the information technology system;X;X;1
4;Publicly accessible microservices;While it is possible, in theory, to structure the application to make direct calls to each service, this can lead to highly complex code involving an overwhelming number of service calls;Use firewall for the API gateway;By placing the API gateway behind a firewall, you can essentially place a firewall around all of your microservices.;X;X;1
5;Publicly accessible microservices;;Use firewall for the API gateway;API Gateway pattern that provides abstraction, security, auditing and monitoring of the calls from external clients to the underlying microservices;X;X;1
