ID;Use already validated encryption technologies;Encrypt all sensitive data at rest;Encrypt secrets at rest;Use mutual TLS;use OAuth 2.0;Add an API Gateway;follow the least privilege principle;use mutual TLS + use OpenID connect;use decentralized authorization;use single Sign-on
1;X;;;;X;X;;;;
2;;;X;;;X;;;X;X
3;X;;;;;X;;;;X
4;;;;;X;X;;;X;
5;;X;;;X;X;;;;
6;X;;X;;;;;X;;
7;;X;;X;;;X;X;;
8;;;;X;X;X;X;;;
10;;;;X;;;;X;;X
12;;;;X;X;;;;;X
13;;X;;X;X;;;;;
15;;X;X;X;;;X;;;
16;;;;X;;X;;;;
17;X;X;X;;X;;;X;X;X
18;;;;X;;X;;;;X
19;X;;X;;X;X;;;X;
20;X;X;;X;;;X;;;X
21;;;;X;;;X;;;
22;;;;X;;;;;;
23;;;;X;;X;X;;;X
24;;;;X;X;X;X;;;
25;;X;;X;X;X;;;X;X
26;;;;X;X;X;;X;X;
27;;;;;X;X;X;X;;
28;;;;;X;;;X;;
29;;X;;X;;;;;;
30;;;;;;;;X;;
31;;;;;;;;X;;
32;;;;X;;X;;;X;X
33;;;X;X;;;;;;
34;;;;;;;X;;;X
35;;;;X;;;X;;;
36;;;X;;X;;;;;
37;;X;;X;X;;;X;;X
38;;;;;X;X;;X;;X
39;;;;;;;;;X;
40;X;;;X;;;;;;
42;;;;;;X;;;;X
43;;;;;X;X;;;X;X
44;;;;X;;;;;X;
45;;;;X;;;;;;
46;;;;X;X;X;;;X;X
47;;;;X;X;;;;;
48;;X;;X;;X;X;;X;X
49;;;;X;X;;;;;
50;X;X;;;;;;;X;
51;;;;;;X;;;;
52;;;;;X;;;;X;
53;;;;X;X;;X;X;;
54;;;;;;;;;X;
55;;;;X;;;;X;X;X
56;;;;;X;X;;X;X;X
58;X;;;;X;X;;;;
59;;;X;X;X;;;;;
60;;;;;;X;;;;
61;;;;;;;;;X;
62;;;;X;;X;;;X;
63;;X;;X;;;;;;X
