ID;Authors;Title;Venue;Year;Type;Sub-Type;Search engine;Link
1;Marco Troisi;8 best practices for microservices app sec;TechBeacon;2017;Grey;Blog post;Google;https://techbeacon.com/app-dev-testing/8-best-practices-microservices-app-sec
2;Jack Mannino;Security In The Land Of Microservices;AppSec EU 2017;2017;Grey;Video;Google;https://www.youtube.com/watch?v=JRmWlLY8MGE
3;Zach Gardner;Security in the Microservices Paradigm;Dzone;2017;Grey;Blog post;Google;https://dzone.com/articles/security-in-the-microservices-paradigm
4;Sumo Logic;Improving Security in Your Microservices Architecture;Sumo Logic;2019;Grey;Blog post;Google;https://www.sumologic.com/insight/microservices-architecture-security/
5;Thribhuvan Krishnamurthy;Transition to Microservice Architecture - Challenges;Beingtechie;2018;Grey;Blog post;Google;https://www.beingtechie.io/blog/transition-to-microservices-challenges
6;Vinay Sahni;Best Practices for Building a Microservice Architecture;Vinay Sahni;2019;Grey;Blog post;Google;https://www.vinaysahni.com/best-practices-for-building-a-microservice-architecture
7;Eric Boersma;Top 10 security traps to avoid when migrating from a monolith to microservices;Sqreen;2019;Grey;Blog post;Google;https://blog.sqreen.com/top-10-security-traps-to-avoid-when-migrating-from-a-monolith-to-microservices/
8;John Carnell;Securing your microservices;Manning;2017;Grey;Book chapter;Google;https://livebook.manning.com/book/spring-microservices-in-action/chapter-7?origin=product-toc
10;Ramaswamy Chandramouli;Security Strategies for Microservices-based Application Systems;NIST;2019;Grey;Whitepaper;Google;https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-204.pdf
12;Edureka;Microservices Security | Best Practices To Secure Microservices | Edureka;edureka!;2019;Grey;Video;Google;https://youtu.be/wpA0N7kHaDo
13;Sam Newman;Security and Microservices by Sam Newman;Devoxx;2016;Grey;Video;Google;https://youtu.be/ZXGaC3GR3zU
15;Chintan Jain;Top 10 Security Best Practices to secure your Microservices - AppSecUSA 2017;OWASP;2018;Grey;Video;Google;https://youtu.be/VtUQINsYXDM
16;Prabath Siriwardena;Microservices Security Landscape, WSO2 SF Summit 2019;WSO2;2019;Grey;Video;Google;https://youtu.be/6jGePTpbgtI
17;Michael Hofmann, Erin Schnabel, Katherine Stanley;Application security - Microservices Best Practices for Java;IBM Redbooks;2016;Grey;Book chapter;Google;https://books.google.cl/books?id=KdSrDQAAQBAJ&pg=PA71&lpg=PA71&dq=microservice+antipattern+security&source=bl&ots=zIWPo5zeaU&sig=ACfU3U1npBK1gv4wKXhK2RK4LBggOBkxmg&hl=es-419&sa=X&ved=2ahUKEwjkxtXljfvoAhVUHbkGHTG4CH44ChDoATABegQICRAB
